"Story","Title","Result","Date","Stability","Duration (s)"
"Ftp story","Login valid","IGNORED","2023-11-15T09:50:30.481+02:00[Europe/Bucharest]","0.0","0.52"
"Ftp paramerized story","Login invalid","IGNORED","2023-11-15T09:50:32.996+02:00[Europe/Bucharest]","0.0","0.58"
